,team_ids,round_ids,shots_total,shots_ongoal,shots_offgoal,shots_insidebox,shots_outsidebox,passes_total,passes_percentage,attacks_total,attacks_dangerous,fouls,corners,possession_time,yellow_cards,red_cards,saves,substitutions,tackles,penalties,injuries,results
552,2650,199455,0,0.0,,-1.0,4.0,183.0,14.560000000000002,20.0,-4.0,-5.0,-1.0,18,-1.0,,-1.0,,-1.0,,1.0,0
553,211,199455,0,0.0,,1.0,-4.0,-183.0,-14.560000000000002,-20.0,4.0,5.0,1.0,-18,1.0,,1.0,,1.0,,-1.0,0
554,1789,199455,5,-2.0,7.0,2.0,2.0,0.0,-0.2400000000000091,52.0,24.0,6.0,-2.0,0,0.0,,5.0,-1.0,0.0,,,0
555,390,199455,-5,2.0,-7.0,-2.0,-2.0,0.0,0.2400000000000091,-52.0,-24.0,-6.0,2.0,0,0.0,,-5.0,1.0,0.0,,,0
556,1020,199455,7,2.0,5.0,5.0,3.0,152.0,5.280000000000001,64.0,23.0,4.0,5.0,16,-2.0,,-3.0,-1.0,3.0,,,0
557,2394,199455,-7,-2.0,-5.0,-5.0,-3.0,-152.0,-5.280000000000001,-64.0,-23.0,-4.0,-5.0,-16,2.0,,3.0,1.0,-3.0,,,0
558,2905,199455,4,-3.0,7.0,-1.0,5.0,-46.0,-3.6499999999999915,9.0,9.0,9.0,2.0,-4,-1.0,,2.0,0.0,-2.0,1.0,,-1
559,939,199455,-4,3.0,-7.0,1.0,-5.0,46.0,3.6499999999999915,-9.0,-9.0,-9.0,-2.0,4,1.0,,-2.0,0.0,2.0,-1.0,,1
560,7466,199455,3,-1.0,4.0,2.0,2.0,-101.0,-5.3799999999999955,18.0,6.0,9.0,0.0,-14,0.0,,-3.0,-3.0,-4.0,,1.0,-1
561,293,199455,-3,1.0,-4.0,-2.0,-2.0,101.0,5.3799999999999955,-18.0,-6.0,-9.0,0.0,14,0.0,,3.0,3.0,4.0,,-1.0,1
562,85,199455,-4,-3.0,-1.0,-2.0,0.0,232.0,13.450000000000003,43.0,-29.0,-2.0,6.0,24,1.0,,0.0,-2.0,5.0,,,-1
563,2356,199455,4,3.0,1.0,2.0,0.0,-232.0,-13.450000000000003,-43.0,29.0,2.0,-6.0,-24,-1.0,,0.0,2.0,-5.0,,,1
564,2356,199456,1,2.0,-1.0,-1.0,3.0,-67.0,-2.4399999999999977,-21.0,9.0,8.0,0.0,-8,-1.0,,0.0,-2.0,-7.0,,,1
565,1789,199456,-1,-2.0,1.0,1.0,-3.0,67.0,2.4399999999999977,21.0,-9.0,-8.0,0.0,8,1.0,,0.0,2.0,7.0,,,-1
566,939,199456,6,0.0,6.0,2.0,5.0,156.0,14.449999999999989,33.0,16.0,0.0,0.0,16,-1.0,,-2.0,-2.0,8.0,,1.0,0
567,1020,199456,-6,0.0,-6.0,-2.0,-5.0,-156.0,-14.449999999999989,-33.0,-16.0,0.0,0.0,-16,1.0,,2.0,2.0,-8.0,,-1.0,0
568,211,199456,-13,0.0,-13.0,-9.0,-1.0,-319.0,-20.810000000000002,-34.0,-39.0,2.0,-3.0,-42,-2.0,,2.0,0.0,7.0,2.0,1.0,1
569,7466,199456,13,0.0,13.0,9.0,1.0,319.0,20.810000000000002,34.0,39.0,-2.0,3.0,42,2.0,,-2.0,0.0,-7.0,-2.0,-1.0,-1
570,390,199456,-2,-3.0,1.0,1.0,-4.0,-234.0,-15.340000000000003,-49.0,-26.0,5.0,-1.0,-24,,,1.0,1.0,7.0,,,-1
571,85,199456,2,3.0,-1.0,-1.0,4.0,234.0,15.340000000000003,49.0,26.0,-5.0,1.0,24,,,-1.0,-1.0,-7.0,,,1
572,2394,199456,-12,1.0,-13.0,-6.0,-4.0,50.0,2.069999999999993,-50.0,-43.0,11.0,-1.0,2,3.0,1.0,1.0,-3.0,-5.0,,0.0,1
573,2905,199456,12,-1.0,13.0,6.0,4.0,-50.0,-2.069999999999993,50.0,43.0,-11.0,1.0,-2,-3.0,-1.0,-1.0,3.0,5.0,,0.0,-1
574,293,199456,3,6.0,-3.0,-2.0,-1.0,-102.0,-3.539999999999992,-4.0,2.0,0.0,-1.0,-10,,,3.0,0.0,2.0,,,1
575,2650,199456,-3,-6.0,3.0,2.0,1.0,102.0,3.539999999999992,4.0,-2.0,0.0,1.0,10,,,-3.0,0.0,-2.0,,,-1
576,1789,199457,9,3.0,6.0,7.0,1.0,-79.0,-0.8400000000000034,60.0,31.0,0.0,-1.0,-8,3.0,,-1.0,0.0,-11.0,,,1
577,1020,199457,-9,-3.0,-6.0,-7.0,-1.0,79.0,0.8400000000000034,-60.0,-31.0,0.0,1.0,8,-3.0,,1.0,0.0,11.0,,,-1
578,7466,199457,-3,1.0,-4.0,-6.0,2.0,-120.0,-7.469999999999999,-59.0,-18.0,-2.0,-2.0,-16,2.0,,,0.0,-4.0,,2.0,-1
579,939,199457,3,-1.0,4.0,6.0,-2.0,120.0,7.469999999999999,59.0,18.0,2.0,2.0,16,-2.0,,,0.0,4.0,,-2.0,1
580,390,199457,-6,2.0,-8.0,1.0,-8.0,7.0,1.980000000000004,-20.0,5.0,4.0,-4.0,-2,1.0,,0.0,-2.0,0.0,,0.0,1
