,team_ids,round_ids,shots_total,shots_ongoal,shots_offgoal,shots_insidebox,shots_outsidebox,passes_total,passes_percentage,attacks_total,attacks_dangerous,fouls,corners,possession_time,yellow_cards,red_cards,saves,substitutions,tackles,penalties,injuries,results
82,282,194975,1,3.0,-2.0,4.0,-3.0,116,11.150000000000006,18,-6,2.0,4.0,16,2.0,,-3.0,-2.0,12,,,1
83,496,194975,-1,-3.0,2.0,-4.0,3.0,-116,-11.150000000000006,-18,6,-2.0,-4.0,-16,-2.0,,3.0,2.0,-12,,,-1
84,180,194975,1,3.0,-2.0,2.0,0.0,-85,-9.629999999999995,-10,9,2.0,-2.0,-12,-2.0,1.0,-3.0,-2.0,1,,,1
85,338,194975,-1,-3.0,2.0,-2.0,0.0,85,9.629999999999995,10,-9,-2.0,2.0,12,2.0,-1.0,3.0,2.0,-1,,,-1
86,734,194975,8,-1.0,9.0,7.0,-1.0,51,1.559999999999988,16,19,,6.0,8,-1.0,,0.0,1.0,9,,,-1
87,246,194975,-8,1.0,-9.0,-7.0,1.0,-51,-1.559999999999988,-16,-19,,-6.0,-8,1.0,,0.0,-1.0,-9,,,1
88,66,194975,-13,-2.0,-11.0,-10.0,-2.0,-344,-18.760000000000005,-28,-44,2.0,1.0,-40,3.0,,2.0,0.0,-9,,1.0,0
89,62,194975,13,2.0,11.0,10.0,2.0,344,18.760000000000005,28,44,-2.0,-1.0,40,-3.0,,-2.0,0.0,9,,-1.0,0
90,273,194975,-2,-2.0,0.0,-4.0,4.0,266,17.679999999999993,16,11,1.0,-1.0,32,3.0,,,2.0,-5,,,-1
91,309,194975,2,2.0,0.0,4.0,-4.0,-266,-17.679999999999993,-16,-11,-1.0,1.0,-32,-3.0,,,-2.0,5,,,1
92,338,194976,0,-1.0,1.0,2.0,-2.0,-15,-8.479999999999997,31,4,1.0,2.0,-4,3.0,,1.0,4.0,6,,,0
93,282,194976,0,1.0,-1.0,-2.0,2.0,15,8.479999999999997,-31,-4,-1.0,-2.0,4,-3.0,,-1.0,-4.0,-6,,,0
94,258,194976,-6,0.0,-6.0,-4.0,-1.0,15,-1.1099999999999994,28,11,1.0,1.0,0,2.0,,1.0,-1.0,3,,,1
95,734,194976,6,0.0,6.0,4.0,1.0,-15,1.1099999999999994,-28,-11,-1.0,-1.0,0,-2.0,,-1.0,1.0,-3,,,-1
96,496,194976,1,,4.0,3.0,,-94,-6.8500000000000085,9,-15,,-1.0,-12,5.0,,2.0,2.0,6,,,-1
97,180,194976,-1,,-4.0,-3.0,,94,6.8500000000000085,-9,15,,1.0,12,-5.0,,-2.0,-2.0,-6,,,1
98,309,194976,-8,-8.0,0.0,-5.0,-2.0,-114,-3.8200000000000074,13,8,5.0,3.0,-14,1.0,,3.0,-1.0,-8,,,-1
99,62,194976,8,8.0,0.0,5.0,2.0,114,3.8200000000000074,-13,-8,-5.0,-3.0,14,-1.0,,-3.0,1.0,8,,,1
100,53,194976,10,8.0,2.0,3.0,8.0,315,11.320000000000007,58,18,,1.0,28,,,,2.0,-10,,,1
101,66,194976,-10,-8.0,-2.0,-3.0,-8.0,-315,-11.320000000000007,-58,-18,,-1.0,-28,,,,-2.0,10,,,-1
102,246,194976,-12,,-4.0,-5.0,-5.0,-66,-7.38000000000001,-6,-20,,-4.0,-10,2.0,1.0,5.0,-2.0,1,,,-1
103,273,194976,12,,4.0,5.0,5.0,66,7.38000000000001,6,20,,4.0,10,-2.0,-1.0,-5.0,2.0,-1,,,1
104,282,194977,-17,-7.0,,,-2.0,-87,-10.68,-24,-29,-2.0,-8.0,-14,,,4.0,0.0,5,,,-1
105,258,194977,17,7.0,,,2.0,87,10.68,24,29,2.0,8.0,14,,,-4.0,0.0,-5,,,1
106,273,194977,5,6.0,-1.0,6.0,-2.0,197,15.990000000000002,6,21,1.0,-1.0,24,0.0,,,4.0,-9,,,1
107,496,194977,-5,-6.0,1.0,-6.0,2.0,-197,-15.990000000000002,-6,-21,-1.0,1.0,-24,0.0,,,-4.0,9,,,-1
108,66,194977,9,3.0,6.0,7.0,3.0,124,7.13000000000001,6,30,,5.0,12,-1.0,,-3.0,-1.0,-6,,,1
109,338,194977,-9,-3.0,-6.0,-7.0,-3.0,-124,-7.13000000000001,-6,-30,,-5.0,-12,1.0,,3.0,1.0,6,,,-1
110,734,194977,-12,,-9.0,-10.0,-2.0,-339,-22.179999999999993,-59,-5,,-10.0,-38,1.0,,1.0,-3.0,16,,,-1
111,53,194977,12,,9.0,10.0,2.0,339,22.179999999999993,59,5,,10.0,38,-1.0,,-1.0,3.0,-16,,,1
112,62,194977,12,5.0,7.0,5.0,6.0,388,24.119999999999997,49,45,,12.0,44,,,,1.0,-5,1.0,,1
113,246,194977,-12,-5.0,-7.0,-5.0,-6.0,-388,-24.119999999999997,-49,-45,,-12.0,-44,,,,-1.0,5,-1.0,,-1
114,53,194978,0,-4.0,4.0,-4.0,0.0,114,2.799999999999997,42,-25,-3.0,-4.0,12,0.0,,3.0,2.0,0,,,-1
115,62,194978,0,4.0,-4.0,4.0,0.0,-114,-2.799999999999997,-42,25,3.0,4.0,-12,0.0,,-3.0,-2.0,0,,,1
